,expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
599,J4K5succ250_ampGrad,3x,2,8,-100,53-76,45-68,333.6229036248885,285.5062141934798,14.194103008693046,4.9908976862384975,0.31622776601683794,
600,J4K5succ250_ampGrad,3x,2,8,-50,68-91,60-83,326.7551608522463,289.55352629355116,18.74379915013253,8.983340211221217,0.31622776601683794,
601,J4K5succ250_ampGrad,3x,2,8,0,83-106,75-98,332.3021310914262,303.33177183059763,20.03349804777713,16.100548277889008,0.31622776601683794,
602,J4K5succ250_ampGrad,3x,2,8,50,98-121,90-113,335.2143020236836,295.2212599686032,18.80359958009637,14.817193301443922,0.31622776601683794,
603,J4K5succ250_ampGrad,3x,2,8,100,113-136,105-128,341.01412481537494,296.6959754587037,23.502236050299015,12.298506895002447,0.31622776601683794,
604,J4K5succ250_ampGrad,3x,2,8,150,128-152,120-143,345.34819001609975,298.527869082358,32.22803698017645,5.141556404789924,0.31622776601683794,
605,J4K5succ250_ampGrad,3x,2,8,200,143-167,135-158,346.77869221689315,292.76976076739663,34.557215245895016,10.557766940612453,0.31622776601683794,
606,J4K5succ250_ampGrad,3x,2,8,250,159-182,150-173,346.7471440287198,282.42776790958845,33.809772196808865,7.650080994823553,0.31622776601683794,
607,J4K5succ250_ampGrad,3x,2,8,300,174-197,165-188,345.36467889220324,298.0885492652032,33.05985359824331,7.942468913909693,0.31622776601683794,
608,J4K5succ250_ampGrad,3x,2,8,350,189-212,180-203,352.75854775070394,305.35369280626134,41.28676588172118,5.192039079368897,0.31622776601683794,
609,J4K5succ250_ampGrad,3x,2,8,400,204-227,195-218,363.50064704574396,307.96424474282884,48.57175345059517,8.896368179930846,0.31622776601683794,
610,J4K5succ250_ampGrad,3x,2,8,450,219-242,210-234,359.73393112594255,304.2905990238065,47.35945806763152,14.673512442383014,0.31622776601683794,
611,J4K5succ250_ampGrad,3x,2,10,-150,38-61,30-53,333.4981127648035,276.3632250813158,16.517636254071988,8.663198191703543,0.31622776601683794,
612,J4K5succ250_ampGrad,3x,2,10,-100,53-76,45-68,335.43852569647845,285.60448354469486,16.009725080282973,5.089167037453592,0.31622776601683794,
