expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
J4K5succ250_kanGrad,30x,3,4,0,69-92,72-95,266.54183840157737,283.3710544844027,-1.743380147451262,10.931054328522464,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,50,84-107,87-111,267.4740871925365,284.1970832918714,-0.05763093150159193,11.83461027562521,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,100,99-122,103-126,264.6115657940099,288.25503041939993,0.5222658034834353,12.577599473244902,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,150,114-137,118-141,262.7019473422769,290.1969668887929,-1.1414915163366572,11.749980701089669,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,200,129-152,133-156,264.80988262590733,287.4636522828472,-0.6856878385595451,9.341311360494387,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,250,144-167,148-171,264.7385173209914,289.7134342540063,-1.017599064605406,11.424074750893396,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,300,159-182,163-186,261.6692787669765,292.27873173892954,-1.7169474705684138,10.77174996940812,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,350,174-197,178-201,260.813050071329,297.22619368680466,-2.4007949926023002,8.609517140220362,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,400,189-212,193-216,261.8332739365536,295.92962114751504,-1.0184893315163208,13.388358553794376,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,4,450,204-227,208-231,264.233398134308,292.7780970575725,-0.720008291142733,16.746475876909017,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,-150,23-46,27-50,266.32704359754496,290.082206016989,-0.4492952942005104,12.828496175914267,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,-100,38-61,42-65,261.8916298810614,287.67879958961,-1.8864786882843418,15.105009575646307,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,-50,53-77,57-80,261.3250149484732,293.52875233652685,-4.181800133778324,17.92630355544503,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,0,69-92,72-95,266.82607867946433,300.64803187669435,-1.4591398695642965,28.20803172081412,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,50,84-107,87-111,268.7006026396381,298.10670909750587,1.1688845155999843,25.744236081259658,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,100,99-122,103-126,265.71694286066395,301.0687312220999,1.6276428701374925,25.3913002759449,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,150,114-137,118-141,263.07438040159633,299.7003605373546,-0.7690584570172518,21.25337434965138,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,200,129-152,133-156,266.1131134894192,303.10342299573267,0.6175430249523401,24.981082073379866,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,250,144-167,148-171,265.4130623961383,305.18986329619315,-0.34305398945849674,26.900503793080247,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,300,159-182,163-186,261.7552830641246,307.1610918324068,-1.6309431734202917,25.654110062885366,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,350,174-197,178-201,261.02288132209486,311.6983740969983,-2.1909637418364127,23.081697550413992,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,400,189-212,193-216,264.07378650246596,308.2594709262813,1.2220232343960333,25.718208332560664,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,6,450,204-227,208-231,265.666952928773,305.1589305760527,0.7135465033222772,29.127309395389204,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,-150,23-46,27-50,270.33951823587677,297.1767550000521,3.5631793441312993,19.923045158977345,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,-100,38-61,42-65,265.250522810958,299.1107849702708,1.4724142416122277,26.536994956307126,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,-50,53-77,57-80,263.7237544064712,305.0960632355316,-1.783060675780348,29.493614454449755,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,0,69-92,72-95,267.6340098998698,311.4289887377747,-0.651208649158832,38.98898858189449,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,50,84-107,87-111,272.4580051122581,314.4485498710371,4.926286988219999,42.08607685479086,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,100,99-122,103-126,267.9994733489416,320.82159850836223,3.910173358415136,45.1441675622072,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,150,114-137,118-141,263.8484609920006,321.0307668664213,0.005022133387001304,42.583780678718085,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,200,129-152,133-156,267.0806702609859,328.10980841267764,1.5850997965190459,49.98746749032483,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,250,144-167,148-171,266.7144904422655,321.58615824265735,0.9583740566687311,43.29679873954444,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,300,159-182,163-186,262.5781079420016,321.9993729638491,-0.8081182955432951,40.492391194327695,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,350,174-197,178-201,261.3930212377879,333.72950932891115,-1.8208238261433962,45.11283278232685,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,400,189-212,193-216,263.9965254397444,318.7921611943501,1.144762171674472,36.250898600629455,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,8,450,204-227,208-231,267.34575726284436,324.29836684209505,2.3923508373936215,48.26674566143157,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,-150,23-46,27-50,272.9499055422655,303.36853464973075,6.173566650520058,26.11482480865601,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,-100,38-61,42-65,268.1673320078582,305.3028095961529,4.389223438512431,32.72901958218921,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,-50,53-77,57-80,265.3031810476898,312.13050875773587,-0.20363403456173046,36.52805997665405,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,0,69-92,72-95,269.8673601392431,330.3361677783255,1.5821415902144622,57.89616762244526,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,50,84-107,87-111,275.57460946366643,332.02588362020913,8.04289133962834,59.663410603962916,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,100,99-122,103-126,269.94713074313324,332.420474666077,5.857830752606787,56.74304371992196,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,150,114-137,118-141,264.55994496363587,332.7084739372588,0.7165061050222903,54.26148774955561,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,200,129-152,133-156,268.77152022679144,336.92964289866353,3.275949762324558,58.807301976310725,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,250,144-167,148-171,268.79263045200236,584.3872973836249,3.036514066405573,306.09793788051195,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,300,159-182,163-186,264.32127434101454,362.00774870159347,0.9350481034696259,80.50076693207205,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,350,174-197,178-201,262.84171271488634,704.0066501061175,-0.3721323490449322,415.3899735595332,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,400,189-212,193-216,265.4710462849836,323.31792123929336,2.6192830169136414,40.776658645572695,,1.5811388300841898
J4K5succ250_kanGrad,30x,3,10,450,204-227,208-231,268.2243192364476,331.8196659488177,3.27091281099689,55.788044768154236,,1.5811388300841898
J4K5succ250_kanGrad,100x,1,0,-150,36-60,6-29,314.0782518932307,197.72076019750048,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,-100,52-75,21-44,314.9970119711876,210.14415234608333,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,-50,67-90,36-59,307.67162010014175,208.48824171917465,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,0,82-105,51-75,306.8502258464255,200.83863193918356,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,50,97-120,66-90,306.1135276630776,198.88156040207411,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,100,112-135,82-105,306.7994886920692,211.42596285961451,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,150,127-150,97-120,309.88508290746864,210.33123753182196,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,200,142-165,112-135,314.6649588405443,210.69065760070154,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,250,157-180,127-150,314.61635992122575,218.9579898954464,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,300,172-195,142-165,310.7699543032703,214.0223414009077,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,350,187-210,157-180,306.9361247135375,221.05054080906166,0.0,0.0,,5.0
J4K5succ250_kanGrad,100x,1,0,400,202-225,172-195,313.51267129169236,221.6077690145211,0.0,0.0,,5.0
